surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,n_runs,epsilon_mean,epsilon_std,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std
180.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.141995,0.003891891030010181,2058672.3307486777,56799.521517681074
180.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.09553,0.0034366599452007717,1385892.0842956624,57171.48046207083
180.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.056535,0.0017658381042797535,819397.1555722249,26081.25360120891
180.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.030095,0.0016503508398933977,436034.09731791925,25475.341122873713
180.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.015340000000000001,0.0010830755428772952,222874.75710976397,16105.798733279522
180.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.00766,0.0008768364187595985,110845.85392361964,12780.811210382488
180.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.00375,0.0006557438524302001,54402.8099820428,9686.158823185326
180.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.002215,0.0004934038593495724,32131.219059564995,7124.653179119469
180.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.001,0.0003866182667833044,14472.979477001494,5567.078529892122
200.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.189625,0.0021088472780420244,2751257.836334097,39292.166388294965
200.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.186905,0.004271752382928185,2706948.9976795027,61847.68877916397
200.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.17511000000000002,0.0029479520098929,2540777.7254174026,43958.62879375956
200.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.14166499999999999,0.0024596266297742743,2055268.2721981653,37373.127384110296
200.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.094875,0.0028349092624484116,1379211.378092718,40285.973034722396
200.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.055810000000000005,0.002052443986029697,809311.0518277641,30876.285263639176
200.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.030025000000000003,0.0016517534542673773,433964.3623380608,23887.016111738038
200.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.01564,0.0013831314585313092,226862.62582115497,19372.602681244334
200.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.007729999999999999,0.0007384906370785152,112178.91590533304,10229.76367786299
