surface_temperature_k,h_gas_density_cm3,uv_flux_factor,gas_temperature_k,ct_model_variant,gas_flux_h_cm2_s,arrival_rate_per_site_s,sticking_probability,ct_epsilon,ct_h2_release_rate_cm2_s,ct02_epsilon,ct02_h2_release_rate_cm2_s,h2_release_rate_cm2_s_mean,ratio_kmc_over_ct02,log10_ratio_kmc_over_ct02
40.0,100.0,10.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9832482644259322,890854.8194613291,0.9832482644259322,890854.8194613291,308719.44605813775,0.34654293754038434,-0.4602429475411517
40.0,100.0,100.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9832482644259322,890854.8194613291,0.9832482644259322,890854.8194613291,304507.30597956036,0.3418147371798314,-0.46620921681158045
40.0,1000.0,0.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9832482644259322,8908548.194613291,0.9832482644259322,8908548.194613291,3086165.40285705,0.3464274240243942,-0.4603877355027354
40.0,1000.0,1.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9832482644259322,8908548.194613291,0.9832482644259322,8908548.194613291,3099421.1263510063,0.3479154019984003,-0.45852634488030886
40.0,1000.0,10.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9832482644259322,8908548.194613291,0.9832482644259322,8908548.194613291,3081570.9117874447,0.34591168442583836,-0.46103476786143993
40.0,1000.0,100.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9832482644259322,8908548.194613291,0.9832482644259322,8908548.194613291,3089643.8811786533,0.34681788925459933,-0.45989850922298336
40.0,10000.0,0.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9832482644259322,89085481.94613291,0.9832482644259322,89085481.94613291,30909252.453581143,0.3469617246081798,-0.459718432149488
40.0,10000.0,1.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9832482644259322,89085481.94613291,0.9832482644259322,89085481.94613291,30901099.73774483,0.3468702089576135,-0.4598329980561765
40.0,10000.0,10.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9832482644259322,89085481.94613291,0.9832482644259322,89085481.94613291,30819033.86723869,0.3459490053146253,-0.46098791375824844
40.0,10000.0,100.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9832482644259322,89085481.94613291,0.9832482644259322,89085481.94613291,30727457.275474917,0.344921042174468,-0.46228031035426076
50.0,10.0,0.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9557381049584678,86592.97226852376,0.9557381049584678,86592.97226852376,30868.927654898405,0.35648305914681194,-0.447961103943598
50.0,10.0,1.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9557381049584678,86592.97226852376,0.9557381049584678,86592.97226852376,30864.13441585158,0.3564277054740917,-0.44802854518830015
50.0,10.0,10.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9557381049584678,86592.97226852376,0.9557381049584678,86592.97226852376,30466.75100222202,0.3518386100403736,-0.4536565036864118
50.0,10.0,100.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.9557381049584678,86592.97226852376,0.9557381049584678,86592.97226852376,23670.48988311595,0.2733534750339098,-0.5632754007244689
50.0,100.0,0.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9557381049584678,865929.7226852376,0.9557381049584678,865929.7226852376,308688.93851210864,0.35648266877232015,-0.4479615795274333
50.0,100.0,1.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9557381049584678,865929.7226852376,0.9557381049584678,865929.7226852376,308324.78107336734,0.35606212951930544,-0.4484742150800382
50.0,100.0,10.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9557381049584678,865929.7226852376,0.9557381049584678,865929.7226852376,308719.4562767996,0.3565179115453669,-0.44791864620508787
50.0,100.0,100.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.9557381049584678,865929.7226852376,0.9557381049584678,865929.7226852376,304507.3120379046,0.35165360890215325,-0.4538849212101985
50.0,1000.0,0.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9557381049584678,8659297.226852376,0.9557381049584678,8659297.226852376,3086165.410537195,0.35639906215102923,-0.4480634474611133
50.0,1000.0,1.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9557381049584678,8659297.226852376,0.9557381049584678,8659297.226852376,3099421.1370349494,0.3579298707317358,-0.4462020564224135
50.0,1000.0,10.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9557381049584678,8659297.226852376,0.9557381049584678,8659297.226852376,3081570.9219927033,0.35586847769086727,-0.4487104794623351
50.0,1000.0,100.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.9557381049584678,8659297.226852376,0.9557381049584678,8659297.226852376,3089643.889325387,0.3568007666655024,-0.4475742211169923
50.0,10000.0,0.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.9557381049584678,86592972.26852377,0.9557381049584678,86592972.26852377,30909252.46105204,0.3569487413505431,-0.44739414508366826
