temperature_k,epsilon_prompt_mean,epsilon_prompt_std,epsilon_prompt_ci95,epsilon_released_total_mean,epsilon_released_total_std,epsilon_released_total_ci95,impinging_atoms_mean,h2_desorbed_mean,h2_released_total_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
33.5,0.3045840386495109,0.03471076164470976,0.01521266202731923,0.3045840386495109,0.03471076164470976,0.01521266202731923,514.4,78.35,78.35,0.0,0.0,0.0,65.65,12.7,0.0,0.8379068283343969,0.16209317166560305,0.0
34.5,0.3042125816291781,0.02761458070549987,0.012102623607019754,0.3042125816291781,0.02761458070549987,0.012102623607019754,522.4,79.45,79.45,0.0,0.0,0.0,65.3,14.15,0.0,0.8219005663939585,0.17809943360604152,0.0
35.5,0.29708739368068804,0.03221445636705233,0.014118608001806265,0.29708739368068804,0.03221445636705233,0.014118608001806265,523.6,77.7,77.7,0.0,0.0,0.0,65.45,12.25,0.0,0.8423423423423423,0.15765765765765766,0.0
36.5,0.2914273698757964,0.028464619957627,0.012475169735074424,0.2914273698757964,0.028464619957627,0.012475169735074424,518.15,75.45,75.45,0.0,0.0,0.0,63.15,12.3,0.0,0.8369781312127237,0.16302186878727634,0.0
37.5,0.2970263162114432,0.026237899698346123,0.011499266553215337,0.2970263162114432,0.026237899698346123,0.011499266553215337,519.65,77.1,77.1,0.0,0.0,0.0,65.1,12.0,0.0,0.8443579766536965,0.1556420233463035,0.0
38.5,0.29016438807861233,0.01679793484141859,0.007362019540656727,0.29016438807861233,0.01679793484141859,0.007362019540656727,517.3,75.05,75.05,0.0,0.0,0.0,63.25,11.8,0.0,0.8427714856762158,0.15722851432378415,0.0
39.5,0.2977816286763217,0.025368818632416964,0.011118374982305725,0.2977816286763217,0.025368818632416964,0.011118374982305725,511.95,76.2,76.2,0.0,0.0,0.0,63.0,13.2,0.0,0.8267716535433071,0.1732283464566929,0.0
40.5,0.30292097245328986,0.023497406096535202,0.010298192276047056,0.30292097245328986,0.023497406096535202,0.010298192276047056,509.4,77.1,77.1,0.0,0.0,0.0,64.2,12.9,0.0,0.8326848249027238,0.16731517509727625,0.0
41.5,0.29074384288285204,0.016245405677171972,0.0071198629575786355,0.29074384288285204,0.016245405677171972,0.0071198629575786355,516.1,75.05,75.05,0.0,0.0,0.0,62.05,13.0,0.0,0.826782145236509,0.173217854763491,0.0
42.5,0.3125086258547742,0.024693938141484822,0.010822595566040835,0.3125086258547742,0.024693938141484822,0.010822595566040835,516.75,80.8,80.8,0.0,0.0,0.0,68.2,12.6,0.0,0.844059405940594,0.15594059405940594,0.0
43.5,0.29185539939583843,0.0294040503426497,0.01288689325447818,0.29185539939583843,0.0294040503426497,0.01288689325447818,507.6,73.95,73.95,0.0,0.0,0.0,61.25,12.7,0.0,0.828262339418526,0.17173766058147397,0.0
44.5,0.3051359820973101,0.030233706594304095,0.013250506138702932,0.3051359820973101,0.030233706594304095,0.013250506138702932,514.1,78.4,78.4,0.0,0.0,0.0,64.65,13.75,0.0,0.8246173469387755,0.1753826530612245,0.0
45.5,0.28796418726538064,0.030218189041024704,0.013243705271123401,0.28796418726538064,0.030218189041024704,0.013243705271123401,519.4,74.8,74.8,0.0,0.0,0.0,61.05,13.75,0.0,0.8161764705882353,0.18382352941176472,0.0
46.5,0.3113730546814435,0.020068865854079684,0.008795568263085122,0.3113730546814435,0.020068865854079684,0.008795568263085122,514.6,80.15,80.15,0.0,0.0,0.0,66.6,13.55,0.0,0.8309419837804117,0.16905801621958827,0.0
47.5,0.29877908641720347,0.023101112595777063,0.01012450899152669,0.29877908641720347,0.023101112595777063,0.01012450899152669,513.0,76.6,76.6,0.0,0.0,0.0,64.2,12.4,0.0,0.8381201044386423,0.1618798955613577,0.0
