shard_id,config_path,surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,output_filename,raw_runs_output
115,anvil/generated_mrn_r8/config_shard_0115.yaml,120.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0115.csv,results/anvil_mrn_r8/raw_chunk_0115.csv
116,anvil/generated_mrn_r8/config_shard_0116.yaml,120.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0116.csv,results/anvil_mrn_r8/raw_chunk_0116.csv
117,anvil/generated_mrn_r8/config_shard_0117.yaml,120.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0117.csv,results/anvil_mrn_r8/raw_chunk_0117.csv
118,anvil/generated_mrn_r8/config_shard_0118.yaml,120.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0118.csv,results/anvil_mrn_r8/raw_chunk_0118.csv
119,anvil/generated_mrn_r8/config_shard_0119.yaml,120.0,1000.0,0.0,0.24999999999999994,8.055166897396689e-07,results/anvil_mrn_r8/aggregated_chunk_0119.csv,results/anvil_mrn_r8/raw_chunk_0119.csv
120,anvil/generated_mrn_r8/config_shard_0120.yaml,150.0,1000.0,0.0,0.004999999999999999,0.7119828920923249,results/anvil_mrn_r8/aggregated_chunk_0120.csv,results/anvil_mrn_r8/raw_chunk_0120.csv
121,anvil/generated_mrn_r8/config_shard_0121.yaml,150.0,1000.0,0.0,0.007135457486209088,0.20506341864218008,results/anvil_mrn_r8/aggregated_chunk_0121.csv,results/anvil_mrn_r8/raw_chunk_0121.csv
122,anvil/generated_mrn_r8/config_shard_0122.yaml,150.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0122.csv,results/anvil_mrn_r8/raw_chunk_0122.csv
123,anvil/generated_mrn_r8/config_shard_0123.yaml,150.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0123.csv,results/anvil_mrn_r8/raw_chunk_0123.csv
124,anvil/generated_mrn_r8/config_shard_0124.yaml,150.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0124.csv,results/anvil_mrn_r8/raw_chunk_0124.csv
125,anvil/generated_mrn_r8/config_shard_0125.yaml,150.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0125.csv,results/anvil_mrn_r8/raw_chunk_0125.csv
